Datetime,Adj Close,Close,High,Low,Open,Volume
2020-01-17,29348.099609375,29348.099609375,29373.619140625,29289.91015625,29313.310546875,321820000
2020-01-21,29196.0390625,29196.0390625,29341.2109375,29146.470703125,29269.05078125,320640000
2020-01-22,29186.26953125,29186.26953125,29320.19921875,29172.259765625,29263.630859375,283440000
2020-01-23,29160.08984375,29160.08984375,29190.470703125,28966.98046875,29111.01953125,307060000
2020-01-24,28989.73046875,28989.73046875,29288.7890625,28843.310546875,29230.390625,380010000
2020-01-27,28535.80078125,28535.80078125,28671.7890625,28440.470703125,28542.490234375,337270000
2020-01-28,28722.849609375,28722.849609375,28823.23046875,28575.75,28594.279296875,330140000
2020-01-29,28734.44921875,28734.44921875,28944.240234375,28728.189453125,28820.529296875,302290000
2020-01-30,28859.439453125,28859.439453125,28879.7109375,28489.759765625,28640.16015625,326850000
2020-01-31,28256.029296875,28256.029296875,28813.0390625,28169.529296875,28813.0390625,403890000
2020-02-03,28399.810546875,28399.810546875,28630.390625,28319.650390625,28319.650390625,307910000
2020-02-04,28807.630859375,28807.630859375,28904.880859375,28696.740234375,28696.740234375,332750000
2020-02-05,29290.849609375,29290.849609375,29308.890625,29000.849609375,29048.73046875,357540000
2020-02-06,29379.76953125,29379.76953125,29408.05078125,29246.9296875,29388.580078125,263700000
2020-02-07,29102.509765625,29102.509765625,29286.919921875,29056.98046875,29286.919921875,252860000
2020-02-10,29276.8203125,29276.8203125,29278.0703125,28995.66015625,28995.66015625,250510000
2020-02-11,29276.33984375,29276.33984375,29415.390625,29210.470703125,29390.7109375,279540000
2020-02-12,29551.419921875,29551.419921875,29568.5703125,29406.75,29406.75,309530000
2020-02-13,29423.310546875,29423.310546875,29535.400390625,29345.9296875,29436.029296875,291150000
2020-02-14,29398.080078125,29398.080078125,29463.0390625,29283.1796875,29440.470703125,231000000
2020-02-18,29232.189453125,29232.189453125,29330.16015625,29116.810546875,29282.779296875,256600000
2020-02-19,29348.029296875,29348.029296875,29409.08984375,29274.380859375,29312.69921875,240640000
2020-02-20,29219.98046875,29219.98046875,29368.44921875,28959.650390625,29296.25,287780000
2020-02-21,28992.41015625,28992.41015625,29146.529296875,28892.69921875,29146.529296875,311210000
2020-02-24,27960.80078125,27960.80078125,28402.9296875,27912.439453125,28402.9296875,452580000
2020-02-25,27081.359375,27081.359375,28149.19921875,26997.619140625,28037.650390625,513270000
2020-02-26,26957.58984375,26957.58984375,27542.779296875,26890.970703125,27159.4609375,472450000
2020-02-27,25766.640625,25766.640625,26775.310546875,25752.8203125,26526.0,664980000
2020-02-28,25409.359375,25409.359375,25494.240234375,24681.009765625,25270.830078125,915990000
2020-03-02,26703.3203125,26703.3203125,26706.169921875,25391.9609375,25590.509765625,637200000
2020-03-03,25917.41015625,25917.41015625,27084.58984375,25706.279296875,26762.470703125,647080000
2020-03-04,27090.859375,27090.859375,27102.33984375,26286.310546875,26383.6796875,457590000
2020-03-05,26121.279296875,26121.279296875,26671.919921875,25943.330078125,26671.919921875,477370000
2020-03-06,25864.779296875,25864.779296875,25994.380859375,25226.619140625,25457.2109375,599780000
2020-03-09,23851.01953125,23851.01953125,24992.359375,23706.0703125,24992.359375,750430000
2020-03-10,25018.16015625,25018.16015625,25020.990234375,23690.33984375,24453.0,654860000
2020-03-11,23553.220703125,23553.220703125,24604.630859375,23328.3203125,24604.630859375,663960000
2020-03-12,21200.619140625,21200.619140625,22837.94921875,21154.4609375,22184.7109375,908260000
2020-03-13,23185.619140625,23185.619140625,23189.759765625,21285.369140625,21973.8203125,843080000
2020-03-16,20188.51953125,20188.51953125,21768.279296875,20116.4609375,20917.529296875,770130000
2020-03-17,21237.380859375,21237.380859375,21379.349609375,19882.259765625,20487.05078125,793060000
2020-03-18,19898.919921875,19898.919921875,20489.330078125,18917.4609375,20188.689453125,871360000
2020-03-19,20087.189453125,20087.189453125,20442.630859375,19177.130859375,19830.009765625,780300000
2020-03-20,19173.98046875,19173.98046875,20531.259765625,19094.26953125,20253.150390625,872290000
2020-03-23,18591.9296875,18591.9296875,19121.009765625,18213.650390625,19028.359375,787970000
2020-03-24,20704.91015625,20704.91015625,20737.69921875,19649.25,19722.189453125,799340000
2020-03-25,21200.55078125,21200.55078125,22019.9296875,20538.33984375,21050.33984375,796320000
2020-03-26,22552.169921875,22552.169921875,22595.060546875,21427.099609375,21468.380859375,705180000
2020-03-27,21636.779296875,21636.779296875,22327.5703125,21469.26953125,21898.470703125,588830000
2020-03-30,22327.48046875,22327.48046875,22378.08984375,21522.080078125,21678.220703125,545540000
2020-03-31,21917.16015625,21917.16015625,22480.369140625,21852.080078125,22208.419921875,571210000
2020-04-01,20943.509765625,20943.509765625,21487.240234375,20784.4296875,21227.380859375,506680000
2020-04-02,21413.439453125,21413.439453125,21477.76953125,20735.01953125,20819.4609375,529540000
2020-04-03,21052.529296875,21052.529296875,21447.810546875,20863.08984375,21285.9296875,450010000
2020-04-06,22679.990234375,22679.990234375,22783.44921875,21693.630859375,21693.630859375,610760000
2020-04-07,22653.859375,22653.859375,23617.240234375,22634.44921875,23537.439453125,594660000
2020-04-08,23433.5703125,23433.5703125,23513.400390625,22682.990234375,22893.470703125,472740000
2020-04-09,23719.369140625,23719.369140625,24008.990234375,23504.08984375,23690.66015625,566400000
2020-04-13,23390.76953125,23390.76953125,23698.9296875,23095.349609375,23698.9296875,394320000
2020-04-14,23949.759765625,23949.759765625,24040.580078125,23683.439453125,23690.5703125,485910000
2020-04-15,23504.349609375,23504.349609375,23649.720703125,23233.3203125,23600.720703125,437630000
2020-04-16,23537.6796875,23537.6796875,23598.080078125,23211.380859375,23543.66015625,471050000
2020-04-17,24242.490234375,24242.490234375,24264.2109375,23817.150390625,23817.150390625,525950000
2020-04-20,23650.439453125,23650.439453125,24108.689453125,23627.189453125,24095.099609375,423410000
2020-04-21,23018.880859375,23018.880859375,23365.25,22941.880859375,23365.25,485140000
2020-04-22,23475.8203125,23475.8203125,23613.099609375,23339.599609375,23437.33984375,352880000
2020-04-23,23515.259765625,23515.259765625,23885.359375,23483.349609375,23543.08984375,389290000
2020-04-24,23775.26953125,23775.26953125,23826.0,23417.6796875,23628.240234375,376020000
2020-04-27,24133.779296875,24133.779296875,24207.650390625,23840.609375,23866.150390625,389390000
2020-04-28,24101.55078125,24101.55078125,24512.240234375,24031.19921875,24357.169921875,400250000
2020-04-29,24633.859375,24633.859375,24764.76953125,24453.990234375,24490.369140625,455290000
2020-04-30,24345.720703125,24345.720703125,24585.5703125,24186.900390625,24585.5703125,487840000
2020-05-01,23723.689453125,23723.689453125,24120.779296875,23645.30078125,24120.779296875,418160000
2020-05-04,23749.759765625,23749.759765625,23769.560546875,23361.16015625,23581.55078125,355360000
2020-05-05,23883.08984375,23883.08984375,24169.720703125,23868.91015625,23958.880859375,369710000
2020-05-06,23664.640625,23664.640625,24054.58984375,23661.140625,23978.880859375,377450000
2020-05-07,23875.890625,23875.890625,24094.619140625,23834.390625,23837.2109375,369890000
2020-05-08,24331.3203125,24331.3203125,24349.900390625,24107.05078125,24107.8203125,335760000
2020-05-11,24221.990234375,24221.990234375,24366.2109375,24070.220703125,24256.44921875,352400000
2020-05-12,23764.779296875,23764.779296875,24382.08984375,23761.580078125,24292.83984375,359480000
2020-05-13,23247.970703125,23247.970703125,23708.900390625,23067.640625,23702.16015625,469950000
2020-05-14,23625.33984375,23625.33984375,23630.859375,22789.619140625,23049.060546875,472700000
2020-05-15,23685.419921875,23685.419921875,23730.080078125,23354.150390625,23454.830078125,491510000
2020-05-18,24597.369140625,24597.369140625,24708.5390625,24059.98046875,24059.98046875,484190000
2020-05-19,24206.859375,24206.859375,24599.5,24202.9609375,24577.48046875,374100000
2020-05-20,24575.900390625,24575.900390625,24649.48046875,24455.939453125,24455.939453125,366510000
2020-05-21,24474.119140625,24474.119140625,24718.4609375,24370.880859375,24564.26953125,346770000
2020-05-22,24465.16015625,24465.16015625,24481.640625,24294.0703125,24461.98046875,255660000
2020-05-26,24995.109375,24995.109375,25176.419921875,24781.83984375,24781.83984375,424380000
2020-05-27,25548.26953125,25548.26953125,25551.560546875,25009.869140625,25298.630859375,411230000
2020-05-28,25400.640625,25400.640625,25758.7890625,25358.73046875,25697.359375,377800000
2020-05-29,25383.109375,25383.109375,25482.80078125,25031.669921875,25324.150390625,527620000
2020-06-01,25475.01953125,25475.01953125,25508.830078125,25220.66015625,25342.990234375,338310000
2020-06-02,25742.650390625,25742.650390625,25743.130859375,25523.740234375,25582.51953125,352610000
2020-06-03,26269.890625,26269.890625,26337.75,25906.880859375,25906.880859375,398790000
2020-06-04,26281.8203125,26281.8203125,26384.099609375,26082.310546875,26226.490234375,372190000
2020-06-05,27110.98046875,27110.98046875,27338.30078125,26836.80078125,26836.80078125,542310000
2020-06-08,27572.439453125,27572.439453125,27580.2109375,27232.48046875,27232.9296875,430200000
2020-06-09,27272.30078125,27272.30078125,27447.369140625,27151.060546875,27447.369140625,381430000
2020-06-10,26989.990234375,26989.990234375,27355.220703125,26938.05078125,27251.890625,448930000
2020-06-11,25128.169921875,25128.169921875,26294.080078125,25082.720703125,26282.509765625,647780000
2020-06-12,25605.5390625,25605.5390625,25965.55078125,25078.41015625,25659.419921875,514440000
2020-06-15,25763.16015625,25763.16015625,25891.580078125,24843.1796875,25270.390625,461230000
2020-06-16,26289.98046875,26289.98046875,26611.029296875,25811.69921875,26326.6796875,489500000
2020-06-17,26119.609375,26119.609375,26400.0703125,26068.41015625,26330.51953125,328830000
2020-06-18,26080.099609375,26080.099609375,26154.19921875,25848.529296875,26016.44921875,328390000
2020-06-19,25871.4609375,25871.4609375,26451.439453125,25759.66015625,26213.099609375,669390000
2020-06-22,26024.9609375,26024.9609375,26059.810546875,25667.6796875,25865.080078125,351780000
2020-06-23,26156.099609375,26156.099609375,26314.970703125,26105.970703125,26159.390625,389980000
2020-06-24,25445.939453125,25445.939453125,25992.9609375,25296.73046875,25992.9609375,450120000
2020-06-25,25745.599609375,25745.599609375,25769.609375,25209.7890625,25365.220703125,384560000
2020-06-26,25015.55078125,25015.55078125,25641.689453125,24971.029296875,25641.689453125,640860000
2020-06-29,25595.80078125,25595.80078125,25601.150390625,25096.16015625,25152.44921875,378070000
2020-06-30,25812.880859375,25812.880859375,25905.380859375,25475.140625,25512.4296875,410780000
2020-07-01,25734.970703125,25734.970703125,26019.310546875,25713.609375,25879.380859375,373180000
2020-07-02,25827.359375,25827.359375,26204.41015625,25778.119140625,25936.44921875,349130000
2020-07-06,26287.029296875,26287.029296875,26297.529296875,25996.080078125,25996.080078125,340690000
