Datetime,Adj Close,Close,High,Low,Open,Volume
2023-01-17 14:30:00+00:00,34113.30859375,34113.30859375,34269.96875,34100.8984375,34222.3203125,0
2023-01-17 15:30:00+00:00,33933.87890625,33933.87890625,34123.140625,33891.8203125,34115.828125,45367187
2023-01-17 16:30:00+00:00,33909.6015625,33909.6015625,33986.75,33904.33984375,33934.48828125,28800377
2023-01-17 17:30:00+00:00,33941.7890625,33941.7890625,33950.5703125,33906.640625,33909.890625,24141203
2023-01-17 18:30:00+00:00,33941.05078125,33941.05078125,34002.4296875,33929.30859375,33941.69140625,27757442
2023-01-17 19:30:00+00:00,33941.7890625,33941.7890625,34017.80078125,33934.69140625,33941.12890625,31116091
2023-01-17 20:30:00+00:00,33908.73828125,33908.73828125,33948.390625,33860.671875,33941.51171875,47009002
2023-01-18 14:30:00+00:00,33889.3984375,33889.3984375,34016.53125,33860.0,33948.48828125,0
2023-01-18 15:30:00+00:00,33603.8984375,33603.8984375,33893.75,33565.0703125,33889.7890625,48139550
2023-01-18 16:30:00+00:00,33502.44140625,33502.44140625,33600.6484375,33482.76953125,33600.6484375,33522559
2023-01-18 17:30:00+00:00,33477.44921875,33477.44921875,33535.73046875,33425.359375,33503.01171875,28042812
2023-01-18 18:30:00+00:00,33489.94140625,33489.94140625,33516.73046875,33446.51171875,33477.421875,29087822
2023-01-18 19:30:00+00:00,33414.73828125,33414.73828125,33510.37109375,33410.80078125,33489.75,31102282
2023-01-18 20:30:00+00:00,33298.28125,33298.28125,33419.73046875,33269.8984375,33414.76171875,52665268
2023-01-19 14:30:00+00:00,33102.75,33102.75,33191.8515625,33048.078125,33171.3515625,0
2023-01-19 15:30:00+00:00,33041.62109375,33041.62109375,33111.51953125,33016.1015625,33102.80078125,39224694
2023-01-19 16:30:00+00:00,33044.48828125,33044.48828125,33102.44140625,32982.05078125,33041.3984375,28486784
2023-01-19 17:30:00+00:00,33119.859375,33119.859375,33157.8203125,33009.55859375,33044.12890625,25396458
2023-01-19 18:30:00+00:00,33201.6796875,33201.6796875,33218.69140625,33114.37109375,33119.78125,28038996
2023-01-19 19:30:00+00:00,33164.94921875,33164.94921875,33227.48828125,33138.44140625,33202.03125,31192638
2023-01-19 20:30:00+00:00,33039.2109375,33039.2109375,33168.171875,33035.37109375,33165.3203125,47098730
2023-01-20 14:30:00+00:00,33080.109375,33080.109375,33085.328125,32948.9296875,33073.4609375,0
2023-01-20 15:30:00+00:00,33232.4296875,33232.4296875,33235.08984375,33059.30078125,33080.2109375,34659682
2023-01-20 16:30:00+00:00,33160.73046875,33160.73046875,33238.3203125,33111.51953125,33232.4296875,32634649
2023-01-20 17:30:00+00:00,33102.0,33102.0,33175.171875,33069.83984375,33160.859375,25746953
2023-01-20 18:30:00+00:00,33231.80078125,33231.80078125,33238.98046875,33100.73046875,33101.55859375,27599975
2023-01-20 19:30:00+00:00,33328.609375,33328.609375,33362.80078125,33229.01171875,33230.33984375,37649197
2023-01-20 20:30:00+00:00,33372.7890625,33372.7890625,33381.94921875,33297.08984375,33328.5703125,55149081
2023-01-23 14:30:00+00:00,33569.28125,33569.28125,33584.6484375,33316.25,33439.55859375,0
2023-01-23 15:30:00+00:00,33684.23046875,33684.23046875,33769.21875,33566.23046875,33569.609375,46821959
2023-01-23 16:30:00+00:00,33647.19140625,33647.19140625,33717.390625,33598.0703125,33681.640625,37592014
2023-01-23 17:30:00+00:00,33704.98828125,33704.98828125,33717.2890625,33632.46875,33647.4609375,31441841
